index	name	code	taxonomy	description	bin length	GC%	coverage	# contigs	# features	longest contig	RP Inventory (total: 55)	RP multiple	BSCG Inventory (total: 51)	BSCG multiple	ASCG Inventory (total: 38)	ASCG multiple	curation status	completion status
378	CG08_land_8_20_14_0_20_WWE3_41_10_curated	CG08_land_8_20_14_0_20_WWE3_41_1	WWE3, Bacteria	None	776112	40.59	1.0	103	939	31003	47	0	48	1	8	1	Manually curated genome	near complete
387	CG09_land_8_20_14_0_10_Shapirobacteria_OP11_38_17_curated	CG09_land_8_20_14_0_10_Microgenomates_38_1	Microgenomates, Bacteria	None	523395	38.44	1.0	53	525	28067	36	1	39	0	11	1	Manually curated genome	partial
389	CG09_land_8_20_14_0_10_Roizmanbacteria_OP11_41_9_curated	CG09_land_8_20_14_0_10_Microgenomates_41_1	Microgenomates, Bacteria	None	669428	41.33	1.0	81	761	45166	38	2	38	1	7	0	Manually curated genome	partial
390	CG09_land_8_20_14_0_10_Collierbacteria_OP11_46_12_curated	CG09_land_8_20_14_0_10_Microgenomates_45_1	Microgenomates, Bacteria	None	614738	45.01	1.0	151	834	17207	43	1	43	1	10	0	Manually curated genome	near complete
394	CG09_land_8_20_14_0_10_Torokbacteria_OD1_42_11_curated	CG09_land_8_20_14_0_10_Parcubacteria_42_1	Parcubacteria, Bacteria	None	667091	41.5	1.0	208	742	12053	42	4	43	2	7	0	Manually curated genome	near complete
395	CG09_land_8_20_14_0_10_Nealsonbacteria_OD1_42_14_curated	CG09_land_8_20_14_0_10_Parcubacteria_42_1	Parcubacteria, Bacteria	None	349247	42.31	1.0	45	423	20588	38	0	39	0	7	0	Manually curated genome	partial
414	CG10_big_fil_rev_8_21_14_0_10_WWE3_32_10_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_32_1	Bacteria	None	950830	31.74	1.0	44	1040	69555	37	2	41	2	8	0	Manually curated genome	near complete
416	CG10_big_fil_rev_8_21_14_0_10_Levybacteria_OP11_36_7_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_36_1	Bacteria	None	552265	35.52	1.0	157	735	59605	42	3	42	1	8	1	Manually curated genome	near complete
417	CG10_big_fil_rev_8_21_14_0_10_Doudnabacteria_OD1_42_18_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_41_1	Bacteria	None	752264	41.44	1.0	64	785	34961	37	1	39	2	7	0	Manually curated genome	partial
418	CG10_big_fil_rev_8_21_14_0_10_Berkelbacteria_43_13_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_43_1	Bacteria	None	838150	43.19	1.0	28	854	139675	48	4	49	1	11	0	Manually curated genome	near complete
419	CG10_big_fil_rev_8_21_14_0_10_Parcubacteria_OD1_46_32_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_46_1	Bacteria	None	1000562	45.83	1.0	35	1032	109096	44	2	48	0	12	0	Manually curated genome	near complete
420	CG10_big_fil_rev_8_21_14_0_10_Peregrinibacteria_49_10_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_49_1	Bacteria	None	1255645	49.09	1.0	100	1317	88596	46	2	47	0	10	0	Manually curated genome	near complete
424	CG10_big_fil_rev_8_21_14_0_10_Berkelbacteria_41_12_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_40_1	Bacteria	None	673911	40.46	1.0	42	749	47133	43	1	42	0	9	0	Manually curated genome	near complete
429	CG10_big_fil_rev_8_21_14_0_10_Gribaldobacteria_OD1_37_21_curated	CG10_big_fil_rev_8_21_14_0_10_CG_CPR03_01_36_1	CG_CPR03_01, CG_CPR03, Bacteria	None	726971	36.43	1.0	43	802	57424	45	1	46	0	11	0	Manually curated genome	near complete
435	CG10_big_fil_rev_8_21_14_0_10_novel_CPR_33_18_curated	CG10_big_fil_rev_8_21_14_0_10_CG_CPR16_01_33_1	CG_CPR16-01, CG_CPR16, Bacteria	None	853727	33.18	1.0	55	970	64710	51	2	48	0	11	0	Manually curated genome	near complete
438	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_OD1_39_9_curated	CG10_big_fil_rev_8_21_14_0_10_CG_Falkow_03_38_1	CG_Falkow_03, Falkowbacteria, Parcubacteria, Bacteria	None	826445	38.47	1.0	63	934	52219	47	2	43	2	8	1	Manually curated genome	near complete
459	CG10_big_fil_rev_8_21_14_0_10_Gribaldobacteria_OD1_33_41_curated	CG10_big_fil_rev_8_21_14_0_10_Bacteria_32_1	Bacteria	None	408419	32.49	1.0	32	473	29924	42	0	45	1	11	0	Manually curated genome	near complete
460	CG10_big_fil_rev_8_21_14_0_10_Saccharibacteria_47_8_curated	CG10_big_fil_rev_8_21_14_0_10_Candidatus_Saccharibacteria_47_1	Candidatus Saccharibacteria, Bacteria	None	788170	46.64	1.0	63	921	35561	39	1	41	2	9	2	Manually curated genome	near complete
461	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_OD1_37_6_curated	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_36_1	Falkowbacteria, Parcubacteria, Bacteria	None	457415	36.01	1.0	152	604	12270	38	2	38	1	11	0	Manually curated genome	partial
462	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_OD1_43_10_curated	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_43_1	Falkowbacteria, Parcubacteria, Bacteria	None	901427	42.58	1.0	55	909	57671	48	2	46	2	11	0	Manually curated genome	near complete
463	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_OD1_43_11_curated	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_42_1	Falkowbacteria, Parcubacteria, Bacteria	None	822009	42.4	1.0	77	899	52963	49	3	46	1	11	0	Manually curated genome	near complete
464	CG10_big_fil_rev_8_21_14_0_10_Falkowbacteria_OD1_38_22_curated	CG10_big_fil_rev_8_21_14_0_10_Parcubacteria_37_1	Parcubacteria, Bacteria	None	549404	37.36	1.0	76	625	15397	44	3	43	2	9	1	Manually curated genome	near complete
465	CG10_big_fil_rev_8_21_14_0_10_Vogelbacteria_OD1_50_13_curated	CG10_big_fil_rev_8_21_14_0_10_GWA1_OD1_51_14_curated_50_1	GWA1_OD1_51_14_curated, Parcubacteria, Bacteria	None	361065	50.22	1.0	31	418	24850	42	2	43	0	9	0	Manually curated genome	near complete
467	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_OD1_51_14_curated	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_51_1	Kaiserbacteria, Parcubacteria, Bacteria	None	674250	51.4	1.0	9	776	252330	38	2	39	2	8	1	Manually curated genome	partial
468	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_OD1_56_12_curated	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_56_1	Kaiserbacteria, Parcubacteria, Bacteria	None	632001	56.18	1.0	26	731	59706	46	2	46	0	11	0	Manually curated genome	near complete
469	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_OD1_59_10_curated	CG10_big_fil_rev_8_21_14_0_10_Kaiserbacteria_58_1	Kaiserbacteria, Parcubacteria, Bacteria	None	759674	58.45	1.0	24	851	127354	49	2	46	0	11	0	Manually curated genome	near complete
470	CG10_big_fil_rev_8_21_14_0_10_Levybacteria_OP11_35_13_curated	CG10_big_fil_rev_8_21_14_0_10_Levybacteria_35_1	Levybacteria, Microgenomates, Bacteria	None	733277	35.32	1.0	50	860	45017	43	1	42	0	10	1	Manually curated genome	near complete
471	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_36_16_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_34_1	Magasanikbacteria, Parcubacteria, Bacteria	None	907144	33.76	1.0	88	919	40146	44	3	44	2	12	0	Manually curated genome	near complete
472	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_36_32_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_36_1	Magasanikbacteria, Parcubacteria, Bacteria	None	879704	35.73	1.0	6	903	412978	50	0	48	0	12	0	Manually curated genome	near complete
473	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_38_6_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_38_1	Magasanikbacteria, Parcubacteria, Bacteria	None	1017501	37.89	1.0	243	1163	14048	44	1	44	0	8	0	Manually curated genome	near complete
474	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_40_10_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_40_1	Magasanikbacteria, Parcubacteria, Bacteria	None	1047193	40.08	1.0	57	1039	79201	46	3	43	2	13	1	Manually curated genome	near complete
475	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_42_10_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_41_1	Magasanikbacteria, Parcubacteria, Bacteria	None	858114	41.45	1.0	48	905	59771	48	2	46	1	9	0	Manually curated genome	near complete
476	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_43_6_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_43_1	Magasanikbacteria, Parcubacteria, Bacteria	None	904330	43.19	1.0	239	1103	21595	40	2	41	2	8	1	Manually curated genome	near complete
478	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_OD1_47_10_curated	CG10_big_fil_rev_8_21_14_0_10_Magasanikbacteria_47_1	Magasanikbacteria, Parcubacteria, Bacteria	None	1044002	46.62	1.0	36	1083	95443	45	2	47	0	11	1	Manually curated genome	near complete
480	CG10_big_fil_rev_8_21_14_0_10_Beckwithbacteria_OP11_34_10_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_34_1	Microgenomates, Bacteria	None	1034482	33.5	1.0	31	1117	130908	50	0	47	0	7	1	Manually curated genome	near complete
481	CG10_big_fil_rev_8_21_14_0_10_Roizmanbacteria_OP11_36_26_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_36_1	Microgenomates, Bacteria	None	1108565	36.2	1.0	62	1226	89175	48	1	46	1	9	0	Manually curated genome	near complete
482	CG10_big_fil_rev_8_21_14_0_10_Shapirobateria_OP11_38_14_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_38_1	Microgenomates, Bacteria	None	507257	37.95	1.0	133	685	22575	38	3	37	2	6	1	Manually curated genome	partial
485	CG10_big_fil_rev_8_21_14_0_10_Roizmanbacteria_OP11_39_6_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_38_1	Microgenomates, Bacteria	None	937664	38.27	1.0	234	1173	17517	42	3	41	2	10	1	Manually curated genome	near complete
487	CG10_big_fil_rev_8_21_14_0_10_Shapirobacteria_OP11_40_9_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_39_1	Microgenomates, Bacteria	None	600868	39.36	1.0	71	722	27258	41	3	42	0	10	1	Manually curated genome	near complete
488	CG10_big_fil_rev_8_21_14_0_10_Collierbacteria_OP11_44_9_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_44_1	Microgenomates, Bacteria	None	551924	43.57	1.0	68	635	26685	35	2	38	0	7	0	Manually curated genome	partial
489	CG10_big_fil_rev_8_21_14_0_10_Roizmanbacteria_OP11_45_7_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_44_1	Microgenomates, Bacteria	None	634434	44.35	1.0	79	761	34800	41	1	38	0	8	0	Manually curated genome	partial
490	CG10_big_fil_rev_8_21_14_0_10_Shapirobateria_OP11_48_15_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_48_1	Microgenomates, Bacteria	None	572848	48.19	1.0	40	636	45957	43	0	42	0	8	0	Manually curated genome	near complete
491	CG10_big_fil_rev_8_21_14_0_10_Pacebacteria_OP11_56_10_curated	CG10_big_fil_rev_8_21_14_0_10_Microgenomates_56_1	Microgenomates, Bacteria	None	949651	55.59	1.0	29	979	155877	45	1	44	0	7	0	Manually curated genome	near complete
493	CG10_big_fil_rev_8_21_14_0_10_Nomurabacteria_OD1_35_16_curated	CG10_big_fil_rev_8_21_14_0_10_Nomurabacteria_35_1	Nomurabacteria, Parcubacteria, Bacteria	None	563747	34.92	1.0	14	617	92962	41	2	38	0	10	0	Manually curated genome	partial
494	CG10_big_fil_rev_8_21_14_0_10_Pacebacteria_OP11_42_12_curated	CG10_big_fil_rev_8_21_14_0_10_Pacebacteria_42_1	Pacebacteria, Microgenomates, Bacteria	None	873187	41.51	1.0	60	990	56635	42	2	41	1	10	2	Manually curated genome	near complete
